Id,Num_Victimas,Fecha,Año,Mes,Dia,Hora_Exacta,Hora,Lugar_del_hecho,Tipo_calle,Calle,Direccion,Comuna,pos x,pos y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Rango_etario,Dia_nombre
2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24.0,Entre 21 y 40,Jueves
2016-0045,1,2016-11-04,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AVENIDA,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-SD,MOTO,AUTO,CONDUCTOR,MASCULINO,,,Viernes
2016-0047,1,2016-04-15,2016,4,15,5:30:00,5,LIMA 1483,CALLE,LIMA,LIMA 1483,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,41.0,Entre 41 y 60,Viernes
2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,,,Viernes
2016-0049,1,2016-04-17,2016,4,17,0:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD-SD,MOTO,AUTO,CONDUCTOR,MASCULINO,,,Domingo
2016-0050,1,2016-04-19,2016,4,19,9:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,78.0,Entre 61 y 80,Martes
2016-0051,1,2016-04-20,2016,4,20,4:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,36.0,Entre 21 y 40,Miercoles
2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV.",13,SD,SD,MOTO-SD,MOTO,AUTO,CONDUCTOR,MASCULINO,,,Miercoles
2016-0053,1,2016-04-22,2016,4,22,9:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38.0,Entre 21 y 40,Viernes
2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30.0,Entre 21 y 40,Sabado
2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,79.0,Entre 61 y 80,Lunes
2016-0056,1,2016-04-26,2016,4,26,4:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26.0,Entre 21 y 40,Martes
2016-0058,1,2016-04-05,2016,5,4,14:00:00,14,LIMA 1471,CALLE,LIMA,LIMA 1471,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,57.0,Entre 41 y 60,Martes
2016-0059,1,2016-08-05,2016,5,8,16:30:00,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,37.0,Entre 21 y 40,Viernes
2016-0064,1,2016-05-14,2016,5,14,18:11:00,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,20.0,Entre 21 y 40,Sabado
2016-0065,1,2016-05-20,2016,5,20,14:40:00,14,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,20.0,Entre 21 y 40,Viernes
